agent_id,x,y,z,timestep
0,6,4,0,0
0,6,4,0,0
0,5,4,0,1
0,4,4,0,2
0,3,4,0,3
0,2,4,0,4
0,2,4,0,5
0,3,4,0,6
0,4,4,0,7
0,5,4,0,8
0,6,4,0,9
0,7,4,0,10
0,8,4,0,11
0,9,4,0,12
0,9,5,0,13
0,9,6,0,14
0,10,6,0,15
0,11,6,0,16
0,12,6,0,17
0,12,5,0,18
0,12,5,0,19
0,12,6,0,20
0,11,6,0,21
0,10,6,0,22
0,9,6,0,23
0,8,6,0,24
0,7,6,0,25
0,6,6,0,26
0,5,6,0,27
0,4,6,0,28
0,3,6,0,29
0,2,6,0,30
0,2,5,0,31
0,2,4,0,32
0,2,4,0,33
0,3,4,0,34
0,4,4,0,35
0,5,4,0,36
0,6,4,0,37
0,7,4,0,38
0,8,4,0,39
0,9,4,0,40
0,9,5,0,41
0,9,6,0,42
0,10,6,0,43
0,11,6,0,44
0,12,6,0,45
0,13,6,0,46
0,14,6,0,47
0,14,5,0,48
0,14,5,0,49
0,14,6,0,50
0,15,6,0,51
0,16,6,0,52
0,17,6,0,53
0,18,6,0,54
0,19,6,0,55
0,20,6,0,56
0,21,6,0,57
0,22,6,0,58
0,23,6,0,59
0,24,6,0,60
0,25,6,0,61
0,25,7,0,62
0,25,8,0,63
0,25,9,0,64
0,25,10,0,65
0,25,11,0,66
0,25,12,0,67
0,25,13,0,68
0,25,14,0,69
0,25,15,0,70
0,25,16,0,71
0,25,17,0,72
0,25,18,0,73
0,25,19,0,74
0,25,20,0,75
0,25,21,0,76
0,25,22,0,77
0,25,23,0,78
0,25,24,0,79
0,25,25,0,80
0,26,25,0,81
0,26,26,0,82
0,27,26,0,83
0,27,25,0,84
0,27,25,0,85
0,27,26,0,86
0,26,26,0,87
0,25,26,0,88
0,24,26,0,89
0,23,26,0,90
0,23,25,0,91
0,23,24,0,92
0,23,23,0,93
0,23,22,0,94
0,23,21,0,95
0,23,20,0,96
0,23,19,0,97
0,23,18,0,98
0,23,17,0,99
1,6,12,0,0
1,6,12,0,0
1,5,12,0,1
1,4,12,0,2
1,3,12,0,3
1,2,12,0,4
1,2,12,0,5
1,3,12,0,6
1,4,12,0,7
1,5,12,0,8
1,6,12,0,9
1,7,12,0,10
1,7,11,0,11
1,7,10,0,12
1,7,9,0,13
1,7,8,0,14
1,7,7,0,15
1,8,7,0,16
1,9,7,0,17
1,9,6,0,18
1,9,5,0,19
1,9,4,0,20
1,9,3,0,21
1,10,3,0,22
1,11,3,0,23
1,11,4,0,24
1,11,4,0,25
1,11,4,0,26
1,11,3,0,27
1,12,3,0,28
1,12,4,0,29
1,12,4,0,30
1,12,4,0,31
1,12,3,0,32
1,13,3,0,33
1,14,3,0,34
1,14,4,0,35
1,14,4,0,36
1,14,3,0,37
1,15,3,0,38
1,16,3,0,39
1,17,3,0,40
1,18,3,0,41
1,19,3,0,42
1,20,3,0,43
1,21,3,0,44
1,22,3,0,45
1,23,3,0,46
1,24,3,0,47
1,25,3,0,48
1,26,3,0,49
1,27,3,0,50
1,27,4,0,51
1,27,4,0,52
1,27,3,0,53
1,26,3,0,54
1,25,3,0,55
1,24,3,0,56
1,23,3,0,57
1,22,3,0,58
1,21,3,0,59
1,20,3,0,60
1,19,3,0,61
1,18,3,0,62
1,17,3,0,63
1,16,3,0,64
1,15,3,0,65
1,14,3,0,66
1,13,3,0,67
1,12,3,0,68
1,12,4,0,69
1,12,4,0,70
1,12,3,0,71
1,11,3,0,72
1,10,3,0,73
1,9,3,0,74
1,8,3,0,75
1,7,3,0,76
1,6,3,0,77
1,5,3,0,78
1,4,3,0,79
1,3,3,0,80
1,2,3,0,81
1,2,4,0,82
1,2,4,0,83
1,3,4,0,84
1,4,4,0,85
1,5,4,0,86
1,6,4,0,87
1,7,4,0,88
1,8,4,0,89
1,9,4,0,90
1,9,5,0,91
1,9,6,0,92
1,10,6,0,93
1,11,6,0,94
1,11,7,0,95
1,11,8,0,96
1,11,9,0,97
1,11,10,0,98
1,11,11,0,99
2,6,20,0,0
2,6,20,0,0
2,5,20,0,1
2,4,20,0,2
2,3,20,0,3
2,2,20,0,4
2,2,20,0,5
2,3,20,0,6
2,4,20,0,7
2,5,20,0,8
2,6,20,0,9
2,7,20,0,10
2,8,20,0,11
2,9,20,0,12
2,10,20,0,13
2,11,20,0,14
2,12,20,0,15
2,13,20,0,16
2,13,21,0,17
2,13,22,0,18
2,13,23,0,19
2,13,24,0,20
2,13,25,0,21
2,13,26,0,22
2,13,26,0,23
2,13,25,0,24
2,12,25,0,25
2,11,25,0,26
2,10,25,0,27
2,9,25,0,28
2,8,25,0,29
2,7,25,0,30
2,6,25,0,31
2,5,25,0,32
2,4,25,0,33
2,3,25,0,34
2,2,25,0,35
2,2,26,0,36
2,2,26,0,37
2,3,26,0,38
2,4,26,0,39
2,5,26,0,40
2,6,26,0,41
2,7,26,0,42
2,8,26,0,43
2,9,26,0,44
2,9,25,0,45
2,10,25,0,46
2,11,25,0,47
2,11,26,0,48
2,11,26,0,49
2,11,25,0,50
2,10,25,0,51
2,9,25,0,52
2,8,25,0,53
2,7,25,0,54
2,6,25,0,55
2,5,25,0,56
2,4,25,0,57
2,3,25,0,58
2,2,25,0,59
2,2,26,0,60
2,2,26,0,61
2,3,26,0,62
2,4,26,0,63
2,5,26,0,64
2,6,26,0,65
2,7,26,0,66
2,8,26,0,67
2,9,26,0,68
2,9,25,0,69
2,10,25,0,70
2,11,25,0,71
2,11,26,0,72
2,11,26,0,73
2,11,25,0,74
2,10,25,0,75
2,9,25,0,76
2,8,25,0,77
2,7,25,0,78
2,6,25,0,79
2,5,25,0,80
2,4,25,0,81
2,3,25,0,82
2,2,25,0,83
2,2,26,0,84
2,2,26,0,85
2,3,26,0,86
2,4,26,0,87
2,5,26,0,88
2,6,26,0,89
2,7,26,0,90
2,8,26,0,91
2,9,26,0,92
2,9,25,0,93
2,10,25,0,94
2,11,25,0,95
2,12,25,0,96
2,13,25,0,97
2,14,25,0,98
2,15,25,0,99
3,18,12,0,0
3,18,12,0,0
3,19,12,0,1
3,20,12,0,2
3,21,12,0,3
3,22,12,0,4
3,23,12,0,5
3,24,12,0,6
3,25,12,0,7
3,25,11,0,8
3,25,10,0,9
3,25,9,0,10
3,25,8,0,11
3,25,7,0,12
3,25,6,0,13
3,25,5,0,14
3,25,4,0,15
3,26,4,0,16
3,26,3,0,17
3,27,3,0,18
3,27,4,0,19
3,27,4,0,20
3,27,3,0,21
3,26,3,0,22
3,25,3,0,23
3,24,3,0,24
3,23,3,0,25
3,22,3,0,26
3,21,3,0,27
3,21,4,0,28
3,21,5,0,29
3,21,6,0,30
3,20,6,0,31
3,19,6,0,32
3,18,6,0,33
3,17,6,0,34
3,16,6,0,35
3,16,7,0,36
3,16,8,0,37
3,16,9,0,38
3,16,10,0,39
3,16,11,0,40
3,16,12,0,41
3,16,12,0,42
3,16,11,0,43
3,15,11,0,44
3,14,11,0,45
3,13,11,0,46
3,12,11,0,47
3,11,11,0,48
3,10,11,0,49
3,9,11,0,50
3,8,11,0,51
3,7,11,0,52
3,6,11,0,53
3,5,11,0,54
3,4,11,0,55
3,3,11,0,56
3,2,11,0,57
3,2,12,0,58
3,2,12,0,59
3,3,12,0,60
3,4,12,0,61
3,5,12,0,62
3,6,12,0,63
3,7,12,0,64
3,8,12,0,65
3,9,12,0,66
3,9,11,0,67
3,10,11,0,68
3,11,11,0,69
3,12,11,0,70
3,13,11,0,71
3,14,11,0,72
3,15,11,0,73
3,16,11,0,74
3,17,11,0,75
3,18,11,0,76
3,18,10,0,77
3,18,9,0,78
3,18,8,0,79
3,18,7,0,80
3,18,6,0,81
3,18,5,0,82
3,18,5,0,83
3,18,6,0,84
3,19,6,0,85
3,20,6,0,86
3,20,7,0,87
3,21,7,0,88
3,22,7,0,89
3,23,7,0,90
3,24,7,0,91
3,25,7,0,92
3,25,6,0,93
3,25,5,0,94
3,25,4,0,95
3,26,4,0,96
3,26,4,0,97
3,25,4,0,98
3,24,4,0,99
4,19,15,0,0
4,19,15,0,0
4,20,15,0,1
4,21,15,0,2
4,22,15,0,3
4,23,15,0,4
4,24,15,0,5
4,25,15,0,6
4,25,16,0,7
4,25,17,0,8
4,25,18,0,9
4,25,19,0,10
4,25,20,0,11
4,25,21,0,12
4,25,22,0,13
4,25,23,0,14
4,25,24,0,15
4,25,25,0,16
4,26,25,0,17
4,26,25,0,18
4,25,25,0,19
4,24,25,0,20
4,23,25,0,21
4,22,25,0,22
4,21,25,0,23
4,20,25,0,24
4,19,25,0,25
4,18,25,0,26
4,17,25,0,27
4,16,25,0,28
4,16,26,0,29
4,16,26,0,30
4,16,25,0,31
4,17,25,0,32
4,18,25,0,33
4,19,25,0,34
4,20,25,0,35
4,20,24,0,36
4,21,24,0,37
4,22,24,0,38
4,23,24,0,39
4,24,24,0,40
4,25,24,0,41
4,25,25,0,42
4,26,25,0,43
4,26,25,0,44
4,25,25,0,45
4,24,25,0,46
4,23,25,0,47
4,22,25,0,48
4,21,25,0,49
4,20,25,0,50
4,19,25,0,51
4,19,24,0,52
4,19,23,0,53
4,19,22,0,54
4,19,21,0,55
4,19,20,0,56
4,19,19,0,57
4,19,19,0,58
4,19,20,0,59
4,20,20,0,60
4,21,20,0,61
4,22,20,0,62
4,23,20,0,63
4,24,20,0,64
4,25,20,0,65
4,25,21,0,66
4,25,22,0,67
4,25,23,0,68
4,25,24,0,69
4,25,25,0,70
4,26,25,0,71
4,26,26,0,72
4,27,26,0,73
4,27,25,0,74
4,27,25,0,75
4,27,26,0,76
4,26,26,0,77
4,25,26,0,78
4,24,26,0,79
4,23,26,0,80
4,22,26,0,81
4,21,26,0,82
4,21,25,0,83
4,20,25,0,84
4,19,25,0,85
4,18,25,0,86
4,17,25,0,87
4,16,25,0,88
4,15,25,0,89
4,15,26,0,90
4,15,26,0,91
4,15,27,0,92
4,14,27,0,93
4,13,27,0,94
4,12,27,0,95
4,11,27,0,96
4,10,27,0,97
4,9,27,0,98
4,8,27,0,99
5,19,8,0,0
5,19,8,0,0
5,20,8,0,1
5,20,9,0,2
5,20,10,0,3
5,21,10,0,4
5,22,10,0,5
5,23,10,0,6
5,24,10,0,7
5,24,11,0,8
5,25,11,0,9
5,25,12,0,10
5,25,13,0,11
5,25,14,0,12
5,25,15,0,13
5,25,16,0,14
5,25,17,0,15
5,25,18,0,16
5,25,19,0,17
5,25,20,0,18
5,25,21,0,19
5,25,22,0,20
5,25,23,0,21
5,25,24,0,22
5,25,25,0,23
5,25,26,0,24
5,26,26,0,25
5,27,26,0,26
5,27,25,0,27
5,27,25,0,28
5,27,26,0,29
5,26,26,0,30
5,25,26,0,31
5,24,26,0,32
5,23,26,0,33
5,22,26,0,34
5,21,26,0,35
5,21,25,0,36
5,20,25,0,37
5,19,25,0,38
5,18,25,0,39
5,17,25,0,40
5,16,25,0,41
5,15,25,0,42
5,15,24,0,43
5,15,23,0,44
5,15,22,0,45
5,15,21,0,46
5,15,20,0,47
5,15,19,0,48
5,15,18,0,49
5,14,18,0,50
5,14,17,0,51
5,14,16,0,52
5,14,15,0,53
5,14,14,0,54
5,14,13,0,55
5,14,12,0,56
5,14,11,0,57
5,14,10,0,58
5,14,9,0,59
5,14,8,0,60
5,14,7,0,61
5,14,6,0,62
5,14,5,0,63
5,14,5,0,64
5,14,6,0,65
5,15,6,0,66
5,16,6,0,67
5,17,6,0,68
5,18,6,0,69
5,19,6,0,70
5,20,6,0,71
5,21,6,0,72
5,22,6,0,73
5,23,6,0,74
5,24,6,0,75
5,25,6,0,76
5,25,5,0,77
5,25,4,0,78
5,26,4,0,79
5,26,4,0,80
5,25,4,0,81
5,24,4,0,82
5,23,4,0,83
